family_id,orb_time,direction,rr,sl_mode,baseline_trades,baseline_avg_r,baseline_win_rate,condition,filtered_trades,filtered_avg_r,filtered_win_rate,delta_avg_r,delta_win_rate,retention_pct
MGC_1000_UP_8.0R_FULL,1000,UP,8.0,FULL,488,0.375,14.959016393442623,asia_bias=ABOVE,198,1.1313131313131313,23.232323232323232,0.7563131313131313,8.27330683888061,40.57377049180328
MGC_1000_UP_8.0R_HALF,1000,UP,8.0,HALF,488,0.555327868852459,17.21311475409836,asia_bias=ABOVE,198,1.0505050505050506,22.727272727272727,0.4951771816525916,5.514157973174367,40.57377049180328
MGC_1800_UP_8.0R_HALF,1800,UP,8.0,HALF,486,0.25102880658436216,13.786008230452676,asia_bias=ABOVE,198,1.02020202020202,22.22222222222222,0.7691732136176579,8.436213991769545,40.74074074074074
MGC_2300_DOWN_8.0R_HALF,2300,DOWN,8.0,HALF,385,-0.16363636363636364,8.831168831168831,asia_bias=BELOW,119,0.9495798319327731,21.008403361344538,1.1132161955691366,12.177234530175706,30.909090909090907
MGC_1800_UP_8.0R_FULL,1800,UP,8.0,FULL,486,-0.10082304526748971,9.465020576131687,asia_bias=ABOVE,198,0.9444444444444444,20.707070707070706,1.045267489711934,11.242050130939019,40.74074074074074
MGC_1800_UP_6.0R_FULL,1800,UP,6.0,FULL,486,0.0102880658436214,13.991769547325102,asia_bias=ABOVE,198,0.8838383838383839,26.262626262626267,0.8735503179947625,12.270856715301164,40.74074074074074
MGC_2300_DOWN_4.0R_FULL,2300,DOWN,4.0,FULL,385,-0.02077922077922078,17.92207792207792,asia_bias=BELOW,119,0.8823529411764706,35.294117647058826,0.9031321619556913,17.372039724980905,30.909090909090907
MGC_1000_UP_6.0R_FULL,1000,UP,6.0,FULL,488,0.32172131147540983,18.647540983606557,asia_bias=ABOVE,198,0.8232323232323232,25.757575757575758,0.5015110117569134,7.1100347739692005,40.57377049180328
MGC_2300_DOWN_3.0R_FULL,2300,DOWN,3.0,FULL,385,-0.04415584415584416,22.597402597402596,asia_bias=BELOW,119,0.7899159663865546,43.69747899159664,0.8340718105423988,21.100076394194044,30.909090909090907
MGC_0900_UP_8.0R_FULL,0900,UP,8.0,FULL,499,0.1282565130260521,12.024048096192384,asia_bias=ABOVE,203,0.7536945812807881,18.7192118226601,0.625438068254736,6.695163726467715,40.6813627254509
MGC_1800_UP_6.0R_HALF,1800,UP,6.0,HALF,486,0.2736625514403292,18.106995884773664,asia_bias=ABOVE,198,0.7424242424242424,24.747474747474747,0.46876169098391324,6.640478862701084,40.74074074074074
MGC_1000_UP_6.0R_HALF,1000,UP,6.0,HALF,488,0.45286885245901637,20.69672131147541,asia_bias=ABOVE,198,0.7373737373737373,24.747474747474747,0.284504884914721,4.0507534359993365,40.57377049180328
MGC_2300_DOWN_6.0R_FULL,2300,DOWN,6.0,FULL,385,-0.13766233766233765,10.38961038961039,asia_bias=BELOW,119,0.7058823529411765,21.008403361344538,0.8435446906035142,10.618792971734148,30.909090909090907
MGC_2300_DOWN_6.0R_HALF,2300,DOWN,6.0,HALF,385,-0.17402597402597403,11.428571428571429,asia_bias=BELOW,119,0.680672268907563,23.52941176470588,0.854698242933537,12.100840336134452,30.909090909090907
MGC_1100_UP_6.0R_FULL,1100,UP,6.0,FULL,475,0.05263157894736842,14.105263157894738,asia_bias=ABOVE,196,0.6530612244897959,22.448979591836736,0.6004296455424274,8.343716433941998,41.26315789473684
MGC_1000_UP_8.0R_FULL,1000,UP,8.0,FULL,488,0.375,14.959016393442623,pre_orb_trend=BULLISH,205,0.6487804878048781,18.048780487804876,0.27378048780487807,3.0897640943622537,42.00819672131148
MGC_1000_UP_4.0R_FULL,1000,UP,4.0,FULL,488,0.3401639344262295,26.639344262295083,asia_bias=ABOVE,198,0.6464646464646465,32.82828282828283,0.306300712038417,6.188938565987748,40.57377049180328
MGC_1000_UP_8.0R_HALF,1000,UP,8.0,HALF,488,0.555327868852459,17.21311475409836,pre_orb_trend=BULLISH,205,0.6341463414634146,18.048780487804876,0.07881847261095565,0.8356657337065165,42.00819672131148
MGC_1000_UP_8.0R_HALF,1000,UP,8.0,HALF,488,0.555327868852459,17.21311475409836,asia_bias=INSIDE,168,0.6190476190476191,17.857142857142858,0.06371975019516007,0.6440281030444979,34.42622950819672
MGC_1800_UP_4.0R_FULL,1800,UP,4.0,FULL,486,0.0720164609053498,21.193415637860085,asia_bias=ABOVE,198,0.6111111111111112,31.818181818181817,0.5390946502057614,10.624766180321732,40.74074074074074
MGC_2300_DOWN_2.0R_FULL,2300,DOWN,2.0,FULL,385,-0.03116883116883117,31.68831168831169,asia_bias=BELOW,119,0.5966386554621849,52.94117647058824,0.627807486631016,21.25286478227655,30.909090909090907
MGC_1000_UP_6.0R_HALF,1000,UP,6.0,HALF,488,0.45286885245901637,20.69672131147541,asia_bias=INSIDE,168,0.5892857142857143,22.61904761904762,0.13641686182669793,1.9223263075722095,34.42622950819672
MGC_1800_UP_4.0R_HALF,1800,UP,4.0,HALF,486,0.13580246913580246,22.633744855967077,asia_bias=ABOVE,198,0.5707070707070707,31.313131313131315,0.43490460157126826,8.679386457164238,40.74074074074074
MGC_1100_UP_8.0R_HALF,1100,UP,8.0,HALF,475,0.12421052631578948,12.210526315789473,asia_bias=ABOVE,196,0.5408163265306123,16.83673469387755,0.4166058002148228,4.6262083780880765,41.26315789473684
