variant,rr,sl_mode,scan_window,trades,wins,losses,time_exits,win_rate,avg_r,total_r,max_dd_r,avg_time_hours,annual_trades
RR6.0_FULL_extended,6.0,FULL,extended,523,86,430,7,16.44359464627151,0.19410201732769852,101.51535506238633,60.78529287821315,2.184098151688974,103.42487818083377
RR6.0_FULL_standard,6.0,FULL,standard,523,64,406,53,12.237093690248566,0.18479810930831728,96.64941116824994,48.24772803056324,1.6261631612492033,103.42487818083377
RR4.0_FULL_standard,4.0,FULL,standard,523,109,393,21,20.84130019120459,0.14255138614734308,74.55437495506044,41.58111229335891,1.3170172084130018,103.42487818083377
RR4.0_FULL_extended,4.0,FULL,extended,523,118,402,3,22.562141491395792,0.1412473728552443,73.87237600329277,41.38053097345138,1.5539515615041428,103.42487818083377
RR5.0_FULL_extended,5.0,FULL,extended,523,97,422,4,18.54684512428298,0.1337143727861341,69.93261696714814,63.38053097345138,1.9319949012109625,103.42487818083377
RR8.0_FULL_extended,8.0,FULL,extended,523,62,452,9,11.854684512428298,0.1298140322994848,67.89273889263055,79.78529287821314,2.6803696622052264,103.42487818083377
RR8.0_HALF_standard,8.0,HALF,standard,523,55,449,19,10.51625239005736,0.12019719193733888,62.863131383228236,83.9364444377606,0.9136711281070746,103.42487818083377
RR8.0_HALF_extended,8.0,HALF,extended,523,64,457,2,12.237093690248566,0.11916278778883647,62.32213801356148,81.8521739130439,1.1346717654557044,103.42487818083377
RR5.0_FULL_standard,5.0,FULL,standard,523,78,406,39,14.91395793499044,0.11261410671441144,58.897177811637185,54.514394697229605,1.5276927979604844,103.42487818083377
RR8.0_FULL_standard,8.0,FULL,standard,523,34,418,71,6.5009560229445515,0.1102545470659079,57.66312811546983,64.98096553102705,1.822976418100701,103.42487818083377
RR6.0_HALF_standard,6.0,HALF,standard,523,78,438,7,14.91395793499044,0.08932205034411846,46.71543232997395,69.00763087843833,0.7535691523263225,103.42487818083377
RR6.0_HALF_extended,6.0,HALF,extended,523,80,442,1,15.296367112810708,0.07681512796674068,40.17431192660538,62.0,0.8458572339069471,103.42487818083377
RR3.0_FULL_standard,3.0,FULL,standard,523,132,377,14,25.239005736137663,0.06503276997896976,34.012138699001184,51.319207531454055,1.0823135755258126,103.42487818083377
RR3.0_FULL_extended,3.0,FULL,extended,523,138,384,1,26.38623326959847,0.059995998043487875,31.377906976744157,46.0,1.2095283620140218,103.42487818083377
RR5.0_HALF_extended,5.0,HALF,extended,523,91,431,1,17.39961759082218,0.05004648551932194,26.174311926605377,70.0,0.7644359464627152,103.42487818083377
RR5.0_HALF_standard,5.0,HALF,standard,523,87,429,7,16.634799235181642,0.04343294900568633,22.71543232997395,75.00763087843833,0.6923199490121097,103.42487818083377
RR1.5_FULL_extended,1.5,FULL,extended,523,218,305,0,41.68260038240918,0.04206500956022945,22.0,26.5,0.6621414913957934,103.42487818083377
RR3.0_HALF_extended,3.0,HALF,extended,523,136,387,0,26.003824091778206,0.040152963671128104,21.0,40.0,0.4466539196940727,103.42487818083377
RR3.0_HALF_standard,3.0,HALF,standard,523,135,387,1,25.812619502868067,0.03787513509019844,19.808695652173785,41.19130434782622,0.4406309751434035,103.42487818083377
RR1.5_FULL_standard,1.5,FULL,standard,523,215,305,3,41.10898661567878,0.03640554460392567,19.040099827853126,28.353839566086233,0.6410771191841937,103.42487818083377
RR2.0_FULL_extended,2.0,FULL,extended,523,180,343,0,34.41682600382409,0.032504780114722756,17.0,28.0,0.8632887189292543,103.42487818083377
RR2.0_FULL_standard,2.0,FULL,standard,523,178,341,4,34.03441682600382,0.0309880812514718,16.20676649451975,30.853839566086233,0.8190567240280433,103.42487818083377
RR1.0_FULL_extended,1.0,FULL,extended,523,268,255,0,51.24282982791587,0.0248565965583174,13.0,22.0,0.4654557042702358,103.42487818083377
RR1.0_FULL_standard,1.0,FULL,standard,523,267,255,1,51.05162523900574,0.023376302966755046,12.22580645161289,22.77419354838711,0.46246016571064374,103.42487818083377
RR2.0_HALF_extended,2.0,HALF,extended,523,177,346,0,33.84321223709369,0.015296367112810707,8.0,36.0,0.3246335245379222,103.42487818083377
RR2.0_HALF_standard,2.0,HALF,standard,523,177,346,0,33.84321223709369,0.015296367112810707,8.0,36.0,0.3246335245379222,103.42487818083377
RR1.5_HALF_extended,1.5,HALF,extended,523,212,311,0,40.53537284894838,0.01338432122370937,7.0,27.0,0.2394200127469726,103.42487818083377
RR1.5_HALF_standard,1.5,HALF,standard,523,212,311,0,40.53537284894838,0.01338432122370937,7.0,27.0,0.2394200127469726,103.42487818083377
RR4.0_HALF_extended,4.0,HALF,extended,523,105,417,1,20.076481835564053,0.009893521848193837,5.174311926605377,71.0,0.6358827278521352,103.42487818083377
RR4.0_HALF_standard,4.0,HALF,standard,523,102,417,4,19.50286806883365,-0.0028092729216763887,-1.4692497380367513,74.00763087843833,0.5972275334608032,103.42487818083377
RR1.0_HALF_standard,1.0,HALF,standard,523,254,269,0,48.565965583174,-0.028680688336520075,-15.0,32.0,0.17294455066921607,103.42487818083377
RR1.0_HALF_extended,1.0,HALF,extended,523,254,269,0,48.565965583174,-0.028680688336520075,-15.0,32.0,0.17294455066921607,103.42487818083377
