orb_time,rr,sl_mode,mode,trades,win_rate,avg_r,total_r,profit_factor,max_dd_r,avg_minutes
0900,1.0,HALF,ISOLATION,254,0.5354330708661418,0.07340009173348055,18.64362330030406,1.1607150016602164,9.711567502265183,13.744094488188976
0900,1.0,FULL,ISOLATION,254,0.5275590551181102,0.07352476860252166,18.675291225040503,1.1701927316350849,16.223472335852243,31.968503937007874
0900,1.5,HALF,ISOLATION,254,0.43700787401574803,0.08268289433409282,21.001455160859575,1.1512217642945675,16.645494400109616,19.299212598425196
0900,1.5,FULL,ISOLATION,254,0.421259842519685,0.03148077100072266,7.996115834183556,1.0592314617796623,20.030356568687573,41.267716535433074
0900,2.0,HALF,ISOLATION,254,0.3779527559055118,0.09930214045773746,25.222743676265313,1.1649220701706666,23.733729694227733,23.838582677165356
0900,2.0,FULL,ISOLATION,254,0.37401574803149606,0.03512854409395512,8.9226501998646,1.0617551765837343,19.807409884027564,47.29133858267716
0900,3.0,HALF,ISOLATION,254,0.2992125984251969,0.09683985179918744,24.59732235699361,1.1429212602542032,28.096550207047876,30.212598425196852
0900,3.0,FULL,ISOLATION,254,0.35039370078740156,0.07925979973621201,20.13198913299785,1.1337813725129884,16.693055335126022,54.05905511811024
1000,1.0,HALF,ISOLATION,257,0.5058365758754864,0.014149274849664288,3.636363636363722,1.028776978417267,12.0,9.45136186770428
1000,1.0,FULL,ISOLATION,257,0.5291828793774319,0.05506540313878599,14.151808606667998,1.1194768809279516,13.0,26.003891050583658
1000,1.5,HALF,ISOLATION,257,0.4163424124513619,0.03662015559112691,9.411379986919616,1.0630098477517445,15.5,13.618677042801556
1000,1.5,FULL,ISOLATION,257,0.44357976653696496,0.08357768324871982,21.479464594920994,1.154806175505776,9.835924528301891,35.459143968871594
1000,2.0,HALF,ISOLATION,257,0.3540856031128405,0.053564470641938575,13.766068954978214,1.0840040301683136,17.154517015830848,18.571984435797667
1000,2.0,FULL,ISOLATION,257,0.38910505836575876,0.07252007229960264,18.63765858099788,1.1225708143637754,14.414634146341427,41.49805447470817
1000,3.0,HALF,ISOLATION,257,0.27626459143968873,0.06007689780345294,15.439762735487406,1.0846331837013283,15.209504581456702,24.879377431906615
1000,3.0,FULL,ISOLATION,257,0.33073929961089493,0.04170553458427979,10.718322388159905,1.0645269054502955,21.19554487548421,50.30739299610895
1100,1.0,HALF,ISOLATION,257,0.556420233463035,0.11427959682896198,29.369856385043228,1.2606930556008216,13.44067796610178,13.715953307392995
1100,1.0,FULL,ISOLATION,257,0.5136186770428015,0.03534471238099493,9.083591081915698,1.078824091500278,12.883692060016367,34.190661478599225
1100,1.5,HALF,ISOLATION,257,0.4357976653696498,0.06948351121939067,17.857262383383404,1.1244118911111334,20.22648093212455,20.961089494163424
1100,1.5,FULL,ISOLATION,257,0.41245136186770426,-0.001534200807039317,-0.39428960740910446,0.997040994012042,23.03698896032611,47.64591439688716
1100,2.0,HALF,ISOLATION,257,0.3852140077821012,0.11004564111226879,28.28172976585308,1.1837542747343297,19.267351825936537,27.007782101167315
1100,2.0,FULL,ISOLATION,257,0.3852140077821012,0.026441677879407394,6.7955112150077,1.0492053252071543,18.692734348926116,56.10894941634241
1100,3.0,HALF,ISOLATION,257,0.3151750972762646,0.08994556174344148,23.11600936806446,1.1376192239857668,28.330406902235765,36.02723735408561
1100,3.0,FULL,ISOLATION,257,0.36186770428015563,0.0206930017482699,5.318101449305364,1.0376020268130275,25.323109762565064,65.05058365758755
