orb_time,rr,sl_mode,mode,trades,win_rate,avg_r,total_r,profit_factor,max_dd_r,avg_minutes
0900,1.0,HALF,ISOLATION,82,0.6097560975609756,0.20427363209710614,16.750437831962703,1.5234511822488346,7.77022332506213,15.865853658536585
0900,1.0,HALF,CONTINUATION,82,0.5975609756097561,0.1951219512195122,16.0,1.4848484848484849,9.0,15.975609756097562
0900,1.0,FULL,ISOLATION,82,0.573170731707317,0.14855436111010517,12.181457611028625,1.384361189498244,8.0,33.30487804878049
0900,1.0,FULL,CONTINUATION,82,0.5975609756097561,0.1951219512195122,16.0,1.4848484848484849,8.0,53.146341463414636
0900,1.5,HALF,ISOLATION,82,0.524390243902439,0.27727031691832243,22.73616598730244,1.6003063525697308,8.120223325062188,22.26829268292683
0900,1.5,HALF,CONTINUATION,82,0.5,0.25,20.5,1.5,10.0,24.353658536585368
0900,1.5,FULL,ISOLATION,82,0.45121951219512196,0.08771825136264642,7.192896611737007,1.1787919726335165,9.0,44.97560975609756
0900,1.5,FULL,CONTINUATION,82,0.45121951219512196,0.12804878048780488,10.5,1.2333333333333334,9.0,74.89024390243902
0900,2.0,HALF,ISOLATION,82,0.4878048780487805,0.39652533599912576,32.515077551928314,1.7954900744287154,7.770223325062126,26.451219512195124
0900,2.0,HALF,CONTINUATION,82,0.45121951219512196,0.35365853658536583,29.0,1.6444444444444444,9.0,29.475609756097562
0900,2.0,FULL,ISOLATION,82,0.3780487804878049,0.032933070208950053,2.7005117571339046,1.0605265178122159,11.0,53.646341463414636
0900,2.0,FULL,CONTINUATION,81,0.345679012345679,0.037037037037037035,3.0,1.0566037735849056,11.0,79.51851851851852
0900,3.0,HALF,ISOLATION,82,0.3902439024390244,0.3811277651887409,31.252476745476756,1.6394463910338801,7.77022332506213,34.15853658536585
0900,3.0,HALF,CONTINUATION,82,0.34146341463414637,0.36585365853658536,30.0,1.5555555555555556,9.0,38.24390243902439
0900,3.0,FULL,ISOLATION,82,0.35365853658536583,0.08586128608515961,7.040625458983088,1.151031279999665,12.0,60.451219512195124
0900,3.0,FULL,CONTINUATION,81,0.2839506172839506,0.13580246913580246,11.0,1.1896551724137931,12.0,111.74074074074075
1000,1.0,HALF,ISOLATION,83,0.46987951807228917,-0.060240963855421686,-5.0,0.8863636363636364,12.0,9.240963855421686
1000,1.0,HALF,CONTINUATION,83,0.46987951807228917,-0.060240963855421686,-5.0,0.8863636363636364,12.0,9.240963855421686
1000,1.0,FULL,ISOLATION,83,0.5421686746987951,0.07637160211092327,6.3388429752066315,1.1668116572422798,7.0,24.313253012048193
1000,1.0,FULL,CONTINUATION,83,0.5301204819277109,0.060240963855421686,5.0,1.1282051282051282,7.0,24.987951807228917
1000,1.5,HALF,ISOLATION,83,0.39759036144578314,-0.006024096385542169,-0.5,0.99,12.5,13.421686746987952
1000,1.5,HALF,CONTINUATION,83,0.39759036144578314,-0.006024096385542169,-0.5,0.99,12.5,13.421686746987952
