orb,trades,wins,losses,win_rate,avg_r,total_r
0900,513,251,262,48.927875243664715,-0.021442495126705652,-11.0
1000,522,267,255,51.14942528735632,0.022988505747126436,12.0
1100,515,257,258,49.90291262135923,-0.001941747572815534,-1.0
1800,519,269,250,51.83044315992292,0.036608863198458574,19.0
2300,509,248,261,48.722986247544206,-0.025540275049115914,-13.0
0030,475,231,244,48.63157894736842,-0.02736842105263158,-13.0
