pattern,trades,wins,losses,win_rate,avg_r,median_r,p75_r,is_trades,is_avg_r,oos_trades,oos_avg_r,no_outlier_avg_r,pass_tests,status
BREAKOUT_RETEST,5052,1255,3797,0.24841646872525733,-0.006334125098970704,-1.0,-1.0,3538,-0.0423968343697004,1514,0.07793923381770146,-0.0459464978558301,['MIN_SAMPLE'],FAIL
TREND_DAY,52,12,40,0.23076923076923078,-0.07692307692307693,-1.0,-1.0,36,0.0,16,-0.25,-0.07692307692307693,['MIN_SAMPLE'],FAIL
