orb,symbol,total_trades,optimal_rr,optimal_win_rate,optimal_avg_r,optimal_total_r,baseline_1r_avg_r,improvement_vs_1r
0900,MPL,488,1.0,62.939958592132506,0.2587991718426501,125.0,0.2587991718426501,0.0
1000,MPL,510,1.0,56.07843137254902,0.12156862745098039,62.0,0.12156862745098039,0.0
1100,MPL,512,1.0,67.45098039215686,0.34901960784313724,178.0,0.34901960784313724,0.0
1800,MPL,512,1.0,55.38160469667319,0.10763209393346379,55.0,0.10763209393346379,0.0
2300,MPL,512,1.0,65.06986027944112,0.3013972055888224,151.0,0.3013972055888224,0.0
0030,MPL,514,1.0,60.47904191616767,0.20958083832335328,105.0,0.20958083832335328,0.0
