orb,symbol,total_trades,optimal_rr,optimal_win_rate,optimal_avg_r,optimal_total_r,baseline_1r_avg_r,improvement_vs_1r
0900,NQ,256,1.0,52.96442687747036,0.05928853754940711,15.0,0.05928853754940711,0.0
1000,NQ,257,1.0,56.126482213438734,0.1225296442687747,31.0,0.1225296442687747,0.0
1100,NQ,257,1.0,62.15139442231076,0.24302788844621515,61.0,0.24302788844621515,0.0
1800,NQ,255,1.0,62.055335968379445,0.24110671936758893,61.0,0.24110671936758893,0.0
2300,NQ,255,1.0,53.14960629921261,0.06299212598425197,16.0,0.06299212598425197,0.0
0030,NQ,256,1.0,62.231759656652365,0.2446351931330472,57.0,0.2446351931330472,0.0
