orb,trades,wins,losses,win_rate,avg_r,total_r
0900,223,118,105,52.91479820627802,0.05829596412556054,13.0
1000,221,128,93,57.9185520361991,0.1583710407239819,35.0
1100,219,135,84,61.64383561643836,0.2328767123287671,51.0
1800,221,137,84,61.990950226244344,0.2398190045248869,53.0
2300,222,111,111,50.0,0.0,0.0
0030,208,133,75,63.942307692307686,0.27884615384615385,58.0
