rr_target,trades_total,trades_per_year,wins,win_rate,avg_r_per_trade,total_r,annual_r,median_hold_hours
2.0,523,261.5,318,0.6080305927342257,0.8240917782026769,431.0,215.5,0.03333333333333333
3.0,523,261.5,249,0.47609942638623326,0.904397705544933,473.0,236.5,0.06666666666666667
4.0,523,261.5,201,0.384321223709369,0.9216061185468452,482.0,241.0,0.08333333333333333
5.0,523,261.5,168,0.32122370936902483,0.9273422562141491,485.0,242.5,0.1
6.0,523,261.5,146,0.27915869980879543,0.9541108986615678,499.0,249.5,0.11666666666666667
8.0,523,261.5,115,0.2198852772466539,0.9789674952198852,512.0,256.0,0.13333333333333333
10.0,523,261.5,96,0.1835564053537285,1.0191204588910134,533.0,266.5,0.15
