orb_time,direction,asia_type,london_type,ny_type,total_trades,wins,losses,no_trades,win_rate,avg_r,total_r,worst_r,best_r
ORB_0900,DOWN,EXPANDED,SWEEP_HIGH,CONSOLIDATION,7,1,6,0,0.1429,-0.7143,-5.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_LOW,EXPANSION,5,4,1,0,0.8,0.6,3.0,-1.0,1.0
ORB_0900,UP,NO_DATA,CONSOLIDATION,SWEEP_HIGH,5,4,1,0,0.8,0.6,3.0,-1.0,1.0
ORB_0900,UP,EXPANDED,CONSOLIDATION,EXPANSION,10,7,3,0,0.7,0.4,4.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_HIGH,SWEEP_LOW,6,4,2,0,0.6667,0.3333,2.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,6,4,2,0,0.6667,0.3333,2.0,-1.0,1.0
ORB_0900,UP,EXPANDED,EXPANSION,SWEEP_HIGH,6,4,2,0,0.6667,0.3333,2.0,-1.0,1.0
ORB_0900,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,12,7,5,0,0.5833,0.1667,2.0,-1.0,1.0
ORB_0900,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,12,6,6,0,0.5,0.0,0.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,26,13,13,0,0.5,0.0,0.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,27,12,15,0,0.4444,-0.1111,-3.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,26,11,15,0,0.4231,-0.1538,-4.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_HIGH,EXPANSION,17,7,10,0,0.4118,-0.1765,-3.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_LOW,CONSOLIDATION,6,2,4,0,0.3333,-0.3333,-2.0,-1.0,1.0
