orb,rr,trades,wins,win_rate,avg_r,total_r
2300,1.0,522,362,0.6934865900383141,0.38697318007662834,202.0
2300,1.5,522,293,0.5613026819923371,0.40325670498084293,210.5
2300,2.0,522,236,0.4521072796934866,0.3563218390804598,186.0
2300,2.5,522,199,0.38122605363984674,0.3342911877394636,174.5
2300,3.0,522,166,0.31800766283524906,0.2720306513409962,142.0
2300,4.0,522,137,0.2624521072796935,0.31226053639846746,163.0
2300,5.0,519,107,0.20616570327552985,0.23699421965317918,123.0
2300,6.0,517,87,0.16827852998065765,0.17794970986460348,92.0
2300,8.0,505,60,0.1188118811881188,0.06930693069306931,35.0
