orb_time,duration_min,sl_mode,rr,direction,trades,wins,win_rate,avg_r,total_r,annual_r,median_hold_hours,up_trades,down_trades,up_win_rate,down_win_rate
11:00,5,QUARTER,10.0,ANY,523,96,0.1835564053537285,1.0191204588910134,533.0,266.5,0.15,267,256,0.20973782771535582,0.15625
11:00,5,QUARTER,8.0,ANY,523,115,0.2198852772466539,0.9789674952198852,512.0,256.0,0.13333333333333333,267,256,0.24719101123595505,0.19140625
10:00,5,QUARTER,10.0,ANY,523,93,0.17782026768642448,0.9560229445506692,500.0,250.0,0.11666666666666667,247,276,0.22672064777327935,0.13405797101449277
11:00,5,QUARTER,6.0,ANY,523,146,0.27915869980879543,0.9541108986615678,499.0,249.5,0.11666666666666667,267,256,0.31086142322097376,0.24609375
11:00,5,QUARTER,5.0,ANY,523,168,0.32122370936902483,0.9273422562141491,485.0,242.5,0.1,267,256,0.36329588014981273,0.27734375
11:00,5,QUARTER,4.0,ANY,523,201,0.384321223709369,0.9216061185468452,482.0,241.0,0.08333333333333333,267,256,0.42696629213483145,0.33984375
11:00,5,QUARTER,3.0,ANY,523,249,0.47609942638623326,0.904397705544933,473.0,236.5,0.06666666666666667,267,256,0.5205992509363296,0.4296875
10:00,5,HALF,5.0,UP,247,78,0.3157894736842105,0.8947368421052632,221.0,110.5,0.3,247,0,0.3157894736842105,0.0
09:00,5,QUARTER,5.0,ANY,523,164,0.3135755258126195,0.8814531548757171,461.0,230.5,0.1,273,250,0.315018315018315,0.312
10:00,15,QUARTER,6.0,ANY,522,140,0.2681992337164751,0.8773946360153256,458.0,229.0,0.16666666666666666,270,252,0.28888888888888886,0.24603174603174602
10:00,10,QUARTER,10.0,ANY,523,89,0.1701720841300191,0.8718929254302104,456.0,228.0,0.16666666666666666,266,257,0.19924812030075187,0.14007782101167315
10:00,5,QUARTER,8.0,ANY,523,107,0.2045889101338432,0.8413001912045889,440.0,220.0,0.1,247,276,0.2591093117408907,0.15579710144927536
11:00,5,QUARTER,2.0,ANY,523,318,0.6080305927342257,0.8240917782026769,431.0,215.5,0.03333333333333333,267,256,0.6666666666666666,0.546875
09:00,5,QUARTER,3.0,ANY,523,238,0.45506692160611856,0.8202676864244742,429.0,214.5,0.06666666666666667,273,250,0.46886446886446886,0.44
11:00,5,QUARTER,2.5,ANY,523,272,0.5200764818355641,0.8202676864244742,429.0,214.5,0.05,267,256,0.5880149812734082,0.44921875
10:00,10,QUARTER,5.0,ANY,523,157,0.30019120458891013,0.8011472275334608,419.0,209.5,0.11666666666666667,266,257,0.3458646616541353,0.2529182879377432
09:00,5,QUARTER,4.0,ANY,523,188,0.35946462715105165,0.7973231357552581,417.0,208.5,0.08333333333333333,273,250,0.3553113553113553,0.364
10:00,15,QUARTER,8.0,ANY,522,104,0.19923371647509577,0.7931034482758621,414.0,207.0,0.2,270,252,0.2111111111111111,0.1865079365079365
10:00,10,QUARTER,8.0,ANY,523,104,0.1988527724665392,0.7896749521988528,413.0,206.5,0.15,266,257,0.22556390977443608,0.17120622568093385
10:00,10,QUARTER,4.0,ANY,523,187,0.3575525812619503,0.7877629063097514,412.0,206.0,0.1,266,257,0.41729323308270677,0.29571984435797666
10:00,10,QUARTER,6.0,ANY,523,133,0.25430210325047803,0.780114722753346,408.0,204.0,0.13333333333333333,266,257,0.2857142857142857,0.22178988326848248
10:00,15,QUARTER,5.0,ANY,523,155,0.29636711281070743,0.7782026768642447,407.0,203.5,0.15,271,252,0.33579335793357934,0.25396825396825395
09:00,5,QUARTER,2.5,ANY,523,265,0.5066921606118547,0.7734225621414914,404.5,202.25,0.05,273,250,0.5274725274725275,0.484
