date,outcome,direction,orb_size,orb_size_vs_atr,entry_delay_minutes,entry_distance_from_mid,atr_20,pre_asia_range,asia_range,london_range,prior_asia_range,orb_high_vs_asia_high,orb_low_vs_asia_low,bars_to_exit,max_favorable_r
2024-01-02,LOSS,UP,2.199999999999818,,0.0,3.099999999999909,,,14.099999999999909,14.400000000000091,,-9.200000000000273,2.699999999999818,53,4.909090909089781
2024-01-03,LOSS,UP,1.300000000000182,,6.0,0.849999999999909,,1.099999999999909,7.200000000000273,22.800000000000182,14.099999999999909,-4.5,1.400000000000091,4,3.076923076924799
2024-01-04,LOSS,UP,1.0,,10.0,0.599999999999909,,1.699999999999818,8.599999999999909,7.400000000000091,7.200000000000273,-6.099999999999909,1.5,1,0.0
2024-01-05,LOSS,UP,1.0,,0.0,0.599999999999909,,1.300000000000182,7.400000000000091,7.400000000000091,8.599999999999909,-2.900000000000091,3.5,1,1.6000000000003638
2024-01-08,LOSS,UP,1.2999999999997272,,14.0,0.75,,,19.90000000000009,15.399999999999864,,-0.7000000000002728,17.90000000000009,6,2.1538461538481988
2024-01-09,LOSS,DOWN,2.1000000000001364,,9.0,1.550000000000182,,20.999999999999773,8.600000000000136,7.600000000000136,19.90000000000009,0.0,6.5,1,1.5238095238091731
2024-01-10,WIN,DOWN,0.900000000000091,,0.0,0.650000000000091,,21.200000000000045,9.200000000000045,10.5,8.600000000000136,-2.2000000000000455,6.099999999999909,10,10.222222222215821
2024-01-11,LOSS,UP,1.0,,29.0,0.599999999999909,,1.2000000000000455,10.200000000000045,4.899999999999864,9.200000000000045,-6.399999999999864,2.800000000000182,1,0.7999999999992724
2024-01-12,WIN,UP,1.1000000000001364,,3.0,0.650000000000091,,2.2999999999999545,8.400000000000091,17.200000000000273,10.200000000000045,-5.7999999999999545,1.5,33,10.181818181814648
2024-01-15,LOSS,UP,1.400000000000091,,3.0,0.8000000000001819,,,12.300000000000182,7.399999999999636,,-8.900000000000091,2.0,3,0.5714285714282002
2024-01-16,LOSS,DOWN,1.400000000000091,,1.0,1.0,,,9.699999999999818,14.800000000000182,12.300000000000182,-5.099999999999909,3.199999999999818,3,0.5714285714282002
2024-01-17,LOSS,DOWN,0.7999999999999545,,1.0,0.5,,1.900000000000091,15.5,10.300000000000182,9.699999999999818,-4.2000000000000455,10.5,2,0.49999999999943157
2024-01-18,LOSS,DOWN,0.7000000000000455,,10.0,0.7500000000002274,,1.099999999999909,7.0,9.5,15.5,-1.7999999999999545,4.5,1,2.8571428571435997
2024-01-19,LOSS,DOWN,1.2000000000000455,,1.0,0.8999999999998636,,1.3999999999998636,5.099999999999909,9.200000000000045,7.0,-1.0,2.8999999999998636,5,3.3333333333338384
2024-01-22,LOSS,UP,1.599999999999909,,1.0,0.900000000000091,,,12.599999999999909,10.0,,-2.0,9.0,25,4.999999999998863
2024-01-23,LOSS,DOWN,0.7000000000000455,,0.0,0.6499999999998636,,1.800000000000182,16.399999999999864,9.700000000000045,12.599999999999909,-12.799999999999955,2.8999999999998636,2,3.4285714285717996
2024-01-24,LOSS,UP,1.099999999999909,,9.0,0.75,,1.599999999999909,7.400000000000091,6.400000000000091,16.399999999999864,-1.900000000000091,4.400000000000091,5,3.6363636363624336
2024-01-25,LOSS,DOWN,0.7000000000000455,,22.0,0.4499999999998181,,2.5,3.400000000000091,7.199999999999818,7.400000000000091,-2.2000000000000455,0.5,3,1.1428571428564005
2024-01-26,LOSS,UP,1.7999999999999545,,0.0,1.099999999999909,,1.900000000000091,5.2000000000000455,6.7999999999999545,3.400000000000091,-1.400000000000091,2.0,9,1.3333333333335018
2024-01-29,LOSS,UP,1.7999999999999545,,0.0,1.4999999999997726,,,10.299999999999955,8.100000000000136,,-6.399999999999864,2.1000000000001364,49,5.555555555554994
2024-01-30,LOSS,DOWN,1.400000000000091,0.14105793450882498,0.0,1.2999999999997272,9.925000000000022,2.399999999999636,6.300000000000182,8.900000000000091,10.299999999999955,-1.800000000000182,3.099999999999909,259,8.000000000001299
2024-01-31,LOSS,DOWN,1.3999999999996362,0.1468274777136477,28.0,1.0,9.535000000000036,1.1000000000003638,5.799999999999727,4.5,6.300000000000182,-1.5,2.900000000000091,323,8.285714285716699
2024-02-01,LOSS,UP,1.0,0.10565240359218163,5.0,0.6999999999998181,9.465000000000009,6.800000000000182,10.400000000000091,13.400000000000091,5.799999999999727,-8.5,0.900000000000091,2,1.1999999999989086
2024-02-02,LOSS,UP,0.8000000000001819,0.08372579801153118,1.0,0.900000000000091,9.555000000000017,1.7000000000002728,5.0,4.300000000000182,10.400000000000091,-1.699999999999818,2.5,4,2.9999999999954525
2024-02-05,LOSS,UP,0.900000000000091,0.09538950715422255,1.0,0.6499999999996362,9.435000000000013,,16.700000000000273,7.7999999999999545,,-7.0,8.800000000000182,6,5.33333333333468
2024-02-06,LOSS,DOWN,1.6000000000001364,0.17250673854448867,16.0,0.900000000000091,9.275000000000023,1.2999999999999545,6.199999999999818,5.100000000000136,16.700000000000273,-0.8999999999998636,3.699999999999818,3,0.49999999999943157
2024-02-07,LOSS,UP,0.8999999999996362,0.09830693610045173,0.0,0.5500000000001819,9.155000000000006,1.199999999999818,4.400000000000091,5.500000000000227,6.199999999999818,-1.1000000000003638,2.400000000000091,3,0.0
2024-02-08,LOSS,DOWN,0.900000000000091,0.10095344924285922,29.0,0.7499999999995453,8.91500000000001,1.400000000000091,7.600000000000136,14.900000000000091,4.400000000000091,-0.8000000000001819,5.899999999999864,1,0.8888888888884398
