duration_min,sl_mode,rr,filter,trades,wins,win_rate,avg_r,total_r,annual_r,sharpe
5,FULL,1.0,ATR_0.25,469,246,0.5245202558635395,0.0511727078891258,24.0,12.0,0.05129469946359323
5,FULL,1.5,ATR_0.25,469,0,0.0,0.0511727078891258,24.0,12.0,0.05129469946359323
5,FULL,2.0,ATR_0.25,469,0,0.0,0.0511727078891258,24.0,12.0,0.05129469946359323
5,FULL,2.5,ATR_0.25,469,0,0.0,0.0511727078891258,24.0,12.0,0.05129469946359323
5,FULL,3.0,ATR_0.25,469,0,0.0,0.0511727078891258,24.0,12.0,0.05129469946359323
5,FULL,4.0,ATR_0.25,469,0,0.0,0.0511727078891258,24.0,12.0,0.05129469946359323
5,FULL,5.0,ATR_0.25,469,0,0.0,0.0511727078891258,24.0,12.0,0.05129469946359323
